2021-02-10 09:56:03.387730: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
2021-02-10 09:59:53.618696: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-02-10 09:59:53.621148: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcuda.so.1
2021-02-10 09:59:53.689823: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1720] Found device 0 with properties: 
pciBusID: 0000:02:00.0 name: Tesla K40m computeCapability: 3.5
coreClock: 0.745GHz coreCount: 15 deviceMemorySize: 11.92GiB deviceMemoryBandwidth: 268.58GiB/s
2021-02-10 09:59:53.692322: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1720] Found device 1 with properties: 
pciBusID: 0000:03:00.0 name: Tesla K40m computeCapability: 3.5
coreClock: 0.745GHz coreCount: 15 deviceMemorySize: 11.92GiB deviceMemoryBandwidth: 268.58GiB/s
2021-02-10 09:59:53.693200: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
2021-02-10 09:59:53.759255: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcublas.so.11
2021-02-10 09:59:53.760414: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcublasLt.so.11
2021-02-10 09:59:53.792010: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcufft.so.10
2021-02-10 09:59:53.814653: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcurand.so.10
2021-02-10 09:59:53.816136: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'libcusolver.so.10'; dlerror: libcusolver.so.10: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /.singularity.d/libs
2021-02-10 09:59:53.833150: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcusparse.so.11
2021-02-10 09:59:53.834633: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'libcudnn.so.8'; dlerror: libcudnn.so.8: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /.singularity.d/libs
2021-02-10 09:59:53.835577: W tensorflow/core/common_runtime/gpu/gpu_device.cc:1757] Cannot dlopen some GPU libraries. Please make sure the missing libraries mentioned above are installed properly if you would like to use GPU. Follow the guide at https://www.tensorflow.org/install/gpu for how to download and setup the required libraries for your platform.
Skipping registering GPU devices...
2021-02-10 09:59:53.839223: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-02-10 09:59:53.840200: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1261] Device interconnect StreamExecutor with strength 1 edge matrix:
2021-02-10 09:59:53.840965: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1267]      
INFO: loading CT volume...
Done.
3D FFT computed.


Epoch 1: training on 10935 images and validating on 3645 images.

2021-02-10 10:00:01.803503: I tensorflow/compiler/mlir/mlir_graph_optimization_pass.cc:116] None of the MLIR optimization passes are enabled (registered 2)
2021-02-10 10:00:01.808058: I tensorflow/core/platform/profile_utils/cpu_utils.cc:112] CPU Frequency: 2100160000 Hz
Step 1: 	 loss = 72.9676 	 acc = 0.0000 	 (9.21 seconds/step)
train.py:196: VisibleDeprecationWarning: Creating an ndarray from ragged nested sequences (which is a list-or-tuple of lists-or-tuples-or ndarrays with different lengths or shapes) is deprecated. If you meant to do this, you must specify 'dtype=object' when creating the ndarray
  train_batch = np.array(train_batch)
Step 2: 	 loss = 71.5867 	 acc = 0.0000 	 (2.58 seconds/step)
Step 3: 	 loss = 66.9412 	 acc = 0.0000 	 (2.60 seconds/step)
Step 4: 	 loss = 73.8984 	 acc = 0.0000 	 (2.64 seconds/step)
Step 5: 	 loss = 73.0913 	 acc = 0.0000 	 (2.80 seconds/step)
Step 6: 	 loss = 73.0098 	 acc = 0.0000 	 (2.61 seconds/step)
Step 7: 	 loss = 71.3431 	 acc = 0.0000 	 (2.62 seconds/step)
Step 8: 	 loss = 72.6454 	 acc = 0.0000 	 (2.71 seconds/step)
Step 9: 	 loss = 72.4692 	 acc = 0.0000 	 (2.70 seconds/step)
Step 10: 	 loss = 71.5263 	 acc = 0.0000 	 (2.71 seconds/step)
Step 11: 	 loss = 69.1911 	 acc = 0.0000 	 (2.67 seconds/step)
Step 12: 	 loss = 72.6790 	 acc = 0.0000 	 (2.61 seconds/step)
Step 13: 	 loss = 72.6693 	 acc = 0.0000 	 (2.68 seconds/step)
Step 14: 	 loss = 72.4821 	 acc = 0.0000 	 (2.78 seconds/step)
Step 15: 	 loss = 72.5025 	 acc = 0.0000 	 (2.65 seconds/step)
Step 16: 	 loss = 62.2820 	 acc = 0.1250 	 (2.70 seconds/step)
Step 17: 	 loss = 72.4687 	 acc = 0.0000 	 (2.76 seconds/step)
Step 18: 	 loss = 69.0498 	 acc = 0.0000 	 (2.71 seconds/step)
Step 19: 	 loss = 71.6693 	 acc = 0.0000 	 (2.74 seconds/step)
Step 20: 	 loss = 69.0124 	 acc = 0.0000 	 (2.72 seconds/step)
Step 21: 	 loss = 72.4551 	 acc = 0.0000 	 (2.81 seconds/step)
Step 22: 	 loss = 68.9926 	 acc = 0.0000 	 (2.76 seconds/step)
Step 23: 	 loss = 68.6417 	 acc = 0.0000 	 (2.63 seconds/step)
Step 24: 	 loss = 71.8521 	 acc = 0.0000 	 (2.73 seconds/step)
Step 25: 	 loss = 71.0047 	 acc = 0.0000 	 (2.68 seconds/step)
Step 26: 	 loss = 67.9427 	 acc = 0.0000 	 (2.68 seconds/step)
Step 27: 	 loss = 72.4323 	 acc = 0.0000 	 (2.63 seconds/step)
Step 28: 	 loss = 66.1919 	 acc = 0.0000 	 (2.77 seconds/step)
Step 29: 	 loss = 70.4755 	 acc = 0.0000 	 (2.79 seconds/step)
Step 30: 	 loss = 72.3468 	 acc = 0.0000 	 (2.85 seconds/step)
Step 31: 	 loss = 71.3816 	 acc = 0.0000 	 (2.67 seconds/step)
Step 32: 	 loss = 69.0726 	 acc = 0.0000 	 (2.68 seconds/step)
Step 33: 	 loss = 68.7410 	 acc = 0.0000 	 (2.77 seconds/step)
Step 34: 	 loss = 69.1366 	 acc = 0.0000 	 (2.70 seconds/step)
Step 35: 	 loss = 69.0515 	 acc = 0.0000 	 (2.69 seconds/step)
Step 36: 	 loss = 67.6113 	 acc = 0.0000 	 (2.68 seconds/step)
Step 37: 	 loss = 71.1756 	 acc = 0.0000 	 (2.76 seconds/step)
Step 38: 	 loss = 72.7844 	 acc = 0.0000 	 (2.86 seconds/step)
Step 39: 	 loss = 67.7982 	 acc = 0.0000 	 (2.69 seconds/step)
Step 40: 	 loss = 68.4559 	 acc = 0.0000 	 (2.73 seconds/step)
Step 41: 	 loss = 71.7089 	 acc = 0.0000 	 (2.70 seconds/step)
Step 42: 	 loss = 66.8455 	 acc = 0.0000 	 (2.77 seconds/step)
Step 43: 	 loss = 72.3836 	 acc = 0.0000 	 (2.76 seconds/step)
Step 44: 	 loss = 68.2781 	 acc = 0.0000 	 (2.64 seconds/step)
Step 45: 	 loss = 65.9810 	 acc = 0.0000 	 (2.68 seconds/step)
Step 46: 	 loss = 68.6084 	 acc = 0.0000 	 (2.76 seconds/step)
Step 47: 	 loss = 70.9498 	 acc = 0.0000 	 (2.80 seconds/step)
Step 48: 	 loss = 68.1694 	 acc = 0.0000 	 (2.61 seconds/step)
Step 49: 	 loss = 72.7715 	 acc = 0.0000 	 (2.86 seconds/step)
Step 50: 	 loss = 70.0946 	 acc = 0.0000 	 (2.63 seconds/step)
Step 51: 	 loss = 66.5082 	 acc = 0.0000 	 (2.69 seconds/step)
Step 52: 	 loss = 71.9844 	 acc = 0.0000 	 (2.74 seconds/step)
Step 53: 	 loss = 71.7128 	 acc = 0.0000 	 (2.66 seconds/step)
Step 54: 	 loss = 65.7523 	 acc = 0.0000 	 (2.68 seconds/step)
